serialNumber,Title English,Title Urdu,Arabic,Urdu,English,Benefits,Description,
11,Dua When Meeting Another Muslim,ملاقات کے وقت کی دعا,اَلسَّلَامُ عَلَيْكُمُ - وَعَلَيْكُمُ السَّلَامُ,تم پر سلامتی ہو۔ اور تم پر بھی سلامتی ہو۔,Peace be upon you And peace be upon you too.,Benefits of Reading Dua When Meeting Another Muslim (Mulaqat ke waqt ki dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Meeting Another Muslim(Mulaqat ke waqt ki dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Meeting Another Muslim(Mulaqat ke waqt ki dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Meeting Another Muslim(Mulaqat ke waqt ki dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Meeting Another Muslim",
12,Dua upon Sneezing,چھینک آنے کے وقت کی دعا,اَلْحَمْدُ لِلّٰہِ,تمام تعریفیں اللہ عزوجل کےلئے ہیں۔,All praise onto Allah Almighty.,Benefits of Reading Dua upon Sneezing (Chink Aane Ke Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua upon Sneezing(Chink Aane Ke Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua upon Sneezing(Chink Aane Ke Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua upon Sneezing(Chink Aane Ke Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua upon Sneezing",
13,Dua When Hearing Someone Sneeze,چھینک آنے پر الحمد للہ کہنے والے کے لئے دعا,يَرْحَمُكَ اللّٰہُ,اللہ عزوجل تجھ پر رحم کرے۔,May Allah Almighty Have Mercy on you.,Benefits of Reading Dua When Hearing Someone Sneeze (Chink Aane Par Al Hamdu Lillah Kehne Wale Ke Liye Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Hearing Someone Sneeze(Chink Aane Par Al Hamdu Lillah Kehne Wale Ke Liye Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Hearing Someone Sneeze(Chink Aane Par Al Hamdu Lillah Kehne Wale Ke Liye Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Hearing Someone Sneeze(Chink Aane Par Al Hamdu Lillah Kehne Wale Ke Liye Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Hearing Someone Sneeze",
14,Dua When Facing Trouble or Difficulties,مصیبت و پریشانی کے وقت کی دعا,إِنَّا لِلهِ وَ إِنَّا إِلَيْهِ رَاجِعُوْن. اَللّٰهُمَّ أْجُرْنِيْ فِيْ مُصِيبَتِيْ وَاخْلُفْ لِيْ خَيْرا مِنْهَا,يقینا ہم اللہ ہى كى ملكيت ہیں اور اسى كى طرف لوٹ كر جانے والے ہیں۔اے اللہ مجھے ميرے اس صدمے یا تكليف كا اجر دے اور بدلے ميں مجھے اس سے زيادہ بہتر دے۔(صحیح مسلم),"To Allaah we belong and unto Him is our return. O Allaah, recompense me for my affliction and replace it for me with something better",Benefits of Reading Dua When Facing Trouble or Difficulties (Musibat Aur Pareshani Ke Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Facing Trouble or Difficulties(Musibat Aur Pareshani Ke Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Facing Trouble or Difficulties(Musibat Aur Pareshani Ke Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Facing Trouble or Difficulties(Musibat Aur Pareshani Ke Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Facing Trouble or Difficulties",
15,Dua For Relief From All Hardships,مصیبت کے وقت ورد کرنا,لَا إِلٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,تیرے علاوہ کوئی سچا معبود نہیں، تو پاک ہے، یقینا میں ہی ظالموں میں سے ہوں۔,"None has the right to be worshiped except You. How perfect You are, verily I was among the wrong-doers",Benefits of Reading Dua For Relief From All Hardships (Musibat Ke Waqt Ka Wazifa)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua For Relief From All Hardships(Musibat Ke Waqt Ka Wazifa) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua For Relief From All Hardships(Musibat Ke Waqt Ka Wazifa) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua For Relief From All Hardships(Musibat Ke Waqt Ka Wazifa). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua For Relief From All Hardships",
16,Dua at the time of Dressing,لباس پہنتے وقت کی دعا,الْحَمْدُ لِلَّهِ الَّذِي كَسَانِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلَا قُوَّةٍ,تمام خوبیاں اللہ عزوجل کے لئے جس نے مجھ کو یہ کپڑا پہنایا اور میری قوت و طاقت کے بغیر مجھ کو عطا فرمایا۔,All excellencies are for Allah Azzawajal Who gave me this cloth to wear and granted me without (using) any strenfth and Power.,Benefits of Reading Dua at the time of Dressing (Libas Pehna Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua at the time of Dressing(Libas Pehna Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua at the time of Dressing(Libas Pehna Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua at the time of Dressing(Libas Pehna Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua at the time of Dressing",
17,Dua When Visiting the Sick,عیادت کرتے وقت کی دعا,لَا بَأْسَ طَهُورٌ إِنْ شَآءَ اللّٰہُ,کوئی حرج کی بات نہیں انشاء اللہ عزوجل یہ مرض گناہوں سے پاک کرنے والا ہے,This is not a thing of harm In Sha Allah Azzawajal this illness purifies from sins,Benefits of Reading Dua When Visiting the Sick (Ayadat Karte Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Visiting the Sick(Ayadat Karte Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Visiting the Sick(Ayadat Karte Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Visiting the Sick(Ayadat Karte Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Visiting the Sick",
18,Dua Before Wudhu (Ablution),وضو سے پہلے کی دعا,بِسْمِ اللّٰہِ وَلْحَمْدُ لِلّٰہِ,اللہ عزوجل کے نام سے شروع جو بڑا مہربان اور نہایت رحم والا ہے۔,"Allah Azzawajal in the name of the most affectionate, the merciful.",Benefits of Reading Dua Before Wudhu (Ablution) (Wazu Se Pehle Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua Before Wudhu (Ablution)(Wazu Se Pehle Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua Before Wudhu (Ablution)(Wazu Se Pehle Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua Before Wudhu (Ablution)(Wazu Se Pehle Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua Before Wudhu (Ablution)",
19,Dua While Performing Wudhu (Ablution),وضو کے درمیان پڑھنے کی دعا,اَللّٰهُمَّ اغْفِرْ لِي ذَنْبِي وَوَسِّعْ لِي فِي دَارِي وَبَارِكْ لِي فِي رِزْقِي,اے اللہ عزوجل مجھے بخش دے اور میرے گھر میں برکت و شادگی دے اور میرے گھر روزی میں برکت عطا فرما۔,O Allah Azzawajal forgive me and give me abundance and blessing in my house and grant me abundance in my livlihood.,Benefits of Reading Dua While Performing Wudhu (Ablution) (Wazu Ke Darmiyan Parhnay Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua While Performing Wudhu (Ablution)(Wazu Ke Darmiyan Parhnay Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua While Performing Wudhu (Ablution)(Wazu Ke Darmiyan Parhnay Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua While Performing Wudhu (Ablution)(Wazu Ke Darmiyan Parhnay Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua While Performing Wudhu (Ablution)",
20,Dua Before Entering Toilet,بیت الخلاء میں داخل ہونے سے پہلے کی دعا,اَللّٰھُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُثِ وَالْخَبَائِثِ,اے اللہ عزوجل میں ناپاک جنوں (نرو مادہ) سے تیری پناہ مانگتا ہوں۔,O Allah (Almighty) I seek your refuge from impure Jinnat (male and female),Benefits of Reading Dua Before Entering Toilet (Baitul Khala Mein Dakhil Honay Se Pehlay Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua Before Entering Toilet(Baitul Khala Mein Dakhil Honay Se Pehlay Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua Before Entering Toilet(Baitul Khala Mein Dakhil Honay Se Pehlay Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua Before Entering Toilet(Baitul Khala Mein Dakhil Honay Se Pehlay Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua Before Entering Toilet",
21,Dua After Leaving Toilet,بیت الخلاء سے باہر آنے کے بعد کی دعا,اَلْحَمْدُ لِلّٰہِ الَّذِي أَذْهَبَ عَنِّي الْأَذَى وَعَافَانِي,اللہ عزوجل کا شکر ہے جس نے مجھ سے اذیت دور کی اور مجھے عافیت دی۔,Thanks to Allah Almighty Who removed pain from me and granted me relief.,Benefits of Reading Dua After Leaving Toilet (Baitul Khala Se Bahar Aane Ke Baad ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua After Leaving Toilet(Baitul Khala Se Bahar Aane Ke Baad ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua After Leaving Toilet(Baitul Khala Se Bahar Aane Ke Baad ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua After Leaving Toilet(Baitul Khala Se Bahar Aane Ke Baad ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua After Leaving Toilet",
22,Dua When You Become Angry,غصہ آنے کے وقت کی دعا,أَعُوذُ بِاللّٰہِ مِنَ الشَّيْطٰنِ الرَّجِيمِ,میں شیطان مردود سے اللہ عزوجل کی پناہ چاہتا ہوں۔,I seek the refuge of Allah Almighty from the rejected Shetan.,Benefits of Reading Dua When You Become Angry (Ghussa Aney Ke Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When You Become Angry(Ghussa Aney Ke Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When You Become Angry(Ghussa Aney Ke Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When You Become Angry(Ghussa Aney Ke Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When You Become Angry",
23,Dua At The Time Of Seeing A Muslim Smiling,کسی مسلمان کو ہنستا دیکھ کر پڑھنے کی دعا,أَضْحَكَ اللّٰہُ سِنَّكَ,اللہ عزوجل تجھے ہنستا رکھے۔,May Allah Almighty Keep you smiling.,Benefits of Reading Dua At The Time Of Seeing A Muslim Smiling (Kisi Musalman Ko Hansta Dekh Kar Padhne Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua At The Time Of Seeing A Muslim Smiling(Kisi Musalman Ko Hansta Dekh Kar Padhne Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua At The Time Of Seeing A Muslim Smiling(Kisi Musalman Ko Hansta Dekh Kar Padhne Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua At The Time Of Seeing A Muslim Smiling(Kisi Musalman Ko Hansta Dekh Kar Padhne Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua At The Time Of Seeing A Muslim Smiling",
24,Dua When Sighting The Moon,جب بھی چاند پر نظر پڑھے کی دعا,أَعُوذُ بِاللَّهِ مِنْ شَرِّ هَذَا لغاسِق,میں اللہ عزوجل کی پناہ طلب کرتا ہوں اس تاریک ہوجانے والے کی برائی سے۔,I seek the refuge of Allah Azzawajal from the badness of this that darkness.,Benefits of Reading Dua When Sighting The Moon (Jab Bhi Chand Par Nazar Pari Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Sighting The Moon(Jab Bhi Chand Par Nazar Pari Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Sighting The Moon(Jab Bhi Chand Par Nazar Pari Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Sighting The Moon(Jab Bhi Chand Par Nazar Pari Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Sighting The Moon",
25,Dua When You See Someone in Trouble,مصیبت ذدہ کو دیکھتے وقت کی دعا,اَلْحَمْدُ لِلّٰہِ الَّذِي عَافَانِي مِمَّا ابْتَلَاكَ بِهٖ وَفَضَّلَنِي عَلٰی كَثِيرِ مِمَّنْ خَلَقَ تَفْضِيلَاً,اللہ عزوجل کا شکر ہے جس نے مجھے اس مصیبت سے عافیت دی، جس میں تجھے مبتلا کیا، اور مجھے اپنی بہت سی مخلوق پر فضیلت دی۔,"Thanks to Allah Azzawajal who granted me relief from this affliction, which you have been involved in, and grant me greatness over a lot of your creatures.",Benefits of Reading Dua When You See Someone in Trouble (Musibat Zada Ko Dekhte Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When You See Someone in Trouble(Musibat Zada Ko Dekhte Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When You See Someone in Trouble(Musibat Zada Ko Dekhte Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When You See Someone in Trouble(Musibat Zada Ko Dekhte Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When You See Someone in Trouble",
26,Dua After Drinking Milk,دودھ پینے کے بعد کی دعا,اَللّٰهُمَّ بَارِكْ لَنَا فِيهِ وَزِدْنَا مِنْهُ,یا الٰہی عزوجل ہمارے لئے اس میں برکت دے اور ہمیں اس سے زیادہ عنایت فرما۔ ,O Allah Azzawajal give us abundance in this and grant us more then this.,Benefits of Reading Dua After Drinking Milk (Doodh Peene Ke Baad Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua After Drinking Milk(Doodh Peene Ke Baad Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua After Drinking Milk(Doodh Peene Ke Baad Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua After Drinking Milk(Doodh Peene Ke Baad Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua After Drinking Milk",
27,Dua When Dining at Someone's House,دعوت کھانے کے بعد کی دعا,اَللّٰهُمَّ أَطْعِمْ مَنْ أَطْعَمَنِي وَاسْقِ مَنْ سَقَانِي,یا الٰہی عزوجل اس کو کھلا جس نے مجھے کھلایا اور کو پلا جس نے مجھے پلایا۔,O Allah Azzawajal feed him who fed me and give him to drink who gave to drink.,Benefits of Reading Dua When Dining at Someone's House (Dawat Khane Ke Baad Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Dining at Someone's House(Dawat Khane Ke Baad Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Dining at Someone's House(Dawat Khane Ke Baad Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Dining at Someone's House(Dawat Khane Ke Baad Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Dining at Someone's House",
